Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,59,0,Some Random Commen with Id 0
1,0,4,2,7,Some Random Commen with Id 1
2,1,5,66,9,Some Random Commen with Id 2
3,1,5,99,9,Some Random Commen with Id 3
4,1,5,135,7,Some Random Commen with Id 4
5,1,5,53,8,Some Random Commen with Id 5
6,1,5,71,2,Some Random Commen with Id 6
7,1,5,118,0,Some Random Commen with Id 7
8,1,5,131,0,Some Random Commen with Id 8
9,1,5,83,0,Some Random Commen with Id 9
10,2,2,81,0,Some Random Commen with Id 10
11,3,0,147,6,Some Random Commen with Id 11
12,3,0,115,5,Some Random Commen with Id 12
13,3,0,20,0,Some Random Commen with Id 13
14,3,0,169,3,Some Random Commen with Id 14
15,3,0,196,8,Some Random Commen with Id 15
16,3,0,166,4,Some Random Commen with Id 16
17,3,0,151,8,Some Random Commen with Id 17
18,4,9,153,2,Some Random Commen with Id 18
19,5,3,78,4,Some Random Commen with Id 19
20,5,3,106,6,Some Random Commen with Id 20
21,5,3,54,3,Some Random Commen with Id 21
22,5,3,0,5,Some Random Commen with Id 22
23,5,3,125,2,Some Random Commen with Id 23
24,6,6,65,5,Some Random Commen with Id 24
25,6,6,126,6,Some Random Commen with Id 25
26,6,6,4,5,Some Random Commen with Id 26
27,6,6,41,9,Some Random Commen with Id 27
28,6,6,138,9,Some Random Commen with Id 28
29,6,6,187,3,Some Random Commen with Id 29
30,6,6,92,7,Some Random Commen with Id 30
31,6,6,85,0,Some Random Commen with Id 31
32,6,6,35,4,Some Random Commen with Id 32
33,7,1,160,7,Some Random Commen with Id 33
34,7,1,188,5,Some Random Commen with Id 34
35,7,1,87,3,Some Random Commen with Id 35
36,7,1,52,9,Some Random Commen with Id 36
37,7,1,181,1,Some Random Commen with Id 37
38,7,1,99,6,Some Random Commen with Id 38
39,7,1,30,4,Some Random Commen with Id 39
40,7,1,55,1,Some Random Commen with Id 40
41,8,7,54,3,Some Random Commen with Id 41
42,8,7,0,7,Some Random Commen with Id 42
43,8,7,190,4,Some Random Commen with Id 43
44,8,7,6,8,Some Random Commen with Id 44
45,8,7,183,1,Some Random Commen with Id 45
46,8,7,45,2,Some Random Commen with Id 46
47,9,9,184,7,Some Random Commen with Id 47
48,9,9,117,5,Some Random Commen with Id 48
49,10,5,159,9,Some Random Commen with Id 49
50,10,5,155,3,Some Random Commen with Id 50
51,10,5,125,5,Some Random Commen with Id 51
52,10,5,111,9,Some Random Commen with Id 52
53,10,5,151,1,Some Random Commen with Id 53
54,10,5,85,3,Some Random Commen with Id 54
55,11,9,106,5,Some Random Commen with Id 55
56,11,9,146,8,Some Random Commen with Id 56
57,11,9,113,1,Some Random Commen with Id 57
58,11,9,155,7,Some Random Commen with Id 58
59,11,9,117,7,Some Random Commen with Id 59
60,11,9,121,9,Some Random Commen with Id 60
61,11,9,18,4,Some Random Commen with Id 61
62,11,9,145,4,Some Random Commen with Id 62
63,12,3,189,6,Some Random Commen with Id 63
64,12,3,83,3,Some Random Commen with Id 64
65,12,3,188,7,Some Random Commen with Id 65
66,12,3,79,6,Some Random Commen with Id 66
67,12,3,172,4,Some Random Commen with Id 67
